case_name,disturbance,torque_peak_Nm,method,status,rmse_m,mae_m,maximum_error_m,resolution_m,nominal_step_m,robustness_score,degradation_ratio,seed,error_message
snr_10dB,Gaussian noise,8,Patent 1/32,ok,7.28462486008444e-07,5.91928961454651e-07,2.47387765205317e-06,5.38956457248283e-07,6.25e-07,0.461778591177074,2.0244786657494,20260922,
snr_10dB,Gaussian noise,8,Traditional atan2,ok,5.44243422359123e-07,4.29745456872567e-07,2.6664816274471e-06,5.23338524595042e-07,NaN,0.534533689091848,4.37805489470134,20260922,
snr_10dB,Gaussian noise,8,Existing improved,ok,5.40794360928006e-07,4.27984144414881e-07,2.65433480718776e-06,5.27284882048873e-07,NaN,0.536115133978244,3.70702447082654,20260922,
torque_neg8Nm,torque sweep,-8,Patent 1/4,ok,2.80982646572075e-06,2.39334425139413e-06,4.99783511199512e-06,1.47245087382035e-06,5e-06,0.181959701963823,1,20260923,
torque_neg8Nm,torque sweep,-8,Patent 1/16,ok,7.18820758933684e-07,6.22354746146757e-07,1.24977831142007e-06,3.59781242353343e-07,1.25e-06,0.465091788354226,1,20260923,
torque_neg8Nm,torque sweep,-8,Patent 1/32,ok,3.59827198148709e-07,3.11572637201229e-07,6.24889155710035e-07,1.80039727080327e-07,6.25e-07,0.634629101607757,1,20260923,
torque_neg8Nm,torque sweep,-8,Traditional atan2,ok,1.24311694450841e-07,1.08506066313214e-07,2.07348924526066e-07,1.19838199907859e-07,NaN,0.834098819794949,0.999999999999999,20260923,
torque_neg8Nm,torque sweep,-8,Existing improved,ok,1.45883677106514e-07,1.21620505138118e-07,2.84452755042115e-07,1.31017032992529e-07,NaN,0.810757859533252,0.999999999999998,20260923,
torque_neg4Nm,torque sweep,-4,Patent 1/4,ok,2.80641942254097e-06,2.37733179586198e-06,4.99751557857383e-06,1.49177600508676e-06,5e-06,0.182140369053803,0.998787454235576,20260924,
torque_neg4Nm,torque sweep,-4,Patent 1/16,ok,7.05786498290169e-07,6.06342290614608e-07,1.24945877799878e-06,3.61315443324555e-07,1.25e-06,0.469647085240959,0.981867161623365,20260924,
torque_neg4Nm,torque sweep,-4,Patent 1/32,ok,3.59410379466842e-07,3.11177373073378e-07,6.24889155710035e-07,1.79890621176671e-07,6.25e-07,0.634897816029226,0.998841614297053,20260924,
torque_neg4Nm,torque sweep,-4,Traditional atan2,ok,2.37554759025712e-06,1.83337940881976e-06,3.68405166736931e-06,1.71967326311265e-06,NaN,0.208295313171968,19.1096067087761,20260924,
torque_neg4Nm,torque sweep,-4,Existing improved,ok,3.43699340169323e-06,2.85008506317598e-06,5.77555336534038e-06,1.94941848105451e-06,NaN,0.153865341026766,23.5598215637502,20260924,
torque_neg1Nm,torque sweep,-1,Patent 1/4,ok,1.52681354849249e-06,1.32209406840578e-06,2.64418813681155e-06,7.63883825977194e-07,5e-06,0.290452674414036,0.543383574437521,20260925,
torque_neg1Nm,torque sweep,-1,Patent 1/16,ok,7.01604855635243e-07,5.94332948965496e-07,1.24937889464346e-06,3.72944001271691e-07,1.25e-06,0.471127478046746,0.976049796719867,20260925,
torque_neg1Nm,torque sweep,-1,Patent 1/32,ok,3.51228308215094e-07,2.99168031424266e-07,6.2472938899939e-07,1.84056359227543e-07,6.25e-07,0.640219090903778,0.976102723813386,20260925,
torque_neg1Nm,torque sweep,-1,Traditional atan2,ok,5.698328157195e-06,4.17217285219792e-06,8.35843418621836e-06,3.93686150298147e-06,NaN,0.0988403550255167,45.8390353567933,20260925,
